"","n","date","vcrix"
"318","318",2015-10-11,388.514144380811
"319","319",2015-10-12,391.494884058138
"320","320",2015-10-13,371.281423614189
"321","321",2015-10-14,365.546168921388
"322","322",2015-10-15,362.655998889833
"323","323",2015-10-16,361.64516488093
"324","324",2015-10-17,384.022492148164
"325","325",2015-10-18,398.104097200313
"326","326",2015-10-19,437.730643339638
"327","327",2015-10-20,434.030233318418
"328","328",2015-10-21,440.780126709739
"329","329",2015-10-22,425.738937109755
"330","330",2015-10-23,438.0151848116
"331","331",2015-10-24,433.37431015852
"332","332",2015-10-25,433.728766493633
"333","333",2015-10-26,431.313509725612
"334","334",2015-10-27,426.787802300791
"335","335",2015-10-28,444.558244930287
"336","336",2015-10-29,453.875291504566
"337","337",2015-10-30,459.961007937173
"338","338",2015-10-31,473.302726021123
"339","339",2015-11-01,473.302726021123
"340","340",2015-11-02,497.284461880426
"341","341",2015-11-03,578.336553381209
"342","342",2015-11-04,804.479271597989
"343","343",2015-11-05,778.966902135736
"344","344",2015-11-06,826.096894265081
"345","345",2015-11-07,850.316239420371
"346","346",2015-11-08,847.644501590184
"347","347",2015-11-09,880.643149774261
"348","348",2015-11-10,872.440881692303
"349","349",2015-11-11,1091.11885823403
"350","350",2015-11-12,1203.91259628814
"351","351",2015-11-13,1284.6023953868
"352","352",2015-11-14,1272.81594648389
"353","353",2015-11-15,1270.87749578215
"354","354",2015-11-16,1274.72133583188
"355","355",2015-11-17,1268.34937214841
"356","356",2015-11-18,1254.7793189448
"357","357",2015-11-19,1248.27329611399
"358","358",2015-11-20,1253.21138383718
"359","359",2015-11-21,1246.68226183651
"360","360",2015-11-22,1237.44620236205
"361","361",2015-11-23,1242.47520825476
"362","362",2015-11-24,1239.9805542147
"363","363",2015-11-25,1238.54578064431
"364","364",2015-11-26,1239.69495334596
"365","365",2015-11-27,1286.78989728485
"366","366",2015-11-28,1275.86859625647
"367","367",2015-11-29,1264.32221693844
"368","368",2015-11-30,1265.73255607268
"369","369",2015-12-01,1265.73255607268
"370","370",2015-12-02,1270.83779679227
"371","371",2015-12-03,1218.83548300106
"372","372",2015-12-04,1043.78127902508
"373","373",2015-12-05,1051.79491027462
"374","374",2015-12-06,1103.00957880114
"375","375",2015-12-07,1090.98513630215
"376","376",2015-12-08,1080.5308119975
"377","377",2015-12-09,1095.79598105767
"378","378",2015-12-10,1099.38191585498
"379","379",2015-12-11,903.311939731622
"380","380",2015-12-12,818.726882908756
"381","381",2015-12-13,741.045464919004
"382","382",2015-12-14,747.417138846212
"383","383",2015-12-15,740.852333846021
"384","384",2015-12-16,726.971663557001
"385","385",2015-12-17,744.421394830259
"386","386",2015-12-18,750.40348048527
"387","387",2015-12-19,755.452606025283
"388","388",2015-12-20,736.234155721465
"389","389",2015-12-21,782.00292817782
"390","390",2015-12-22,789.182824491052
"391","391",2015-12-23,790.452504698679
"392","392",2015-12-24,790.198529141368
"393","393",2015-12-25,788.926203058333
"394","394",2015-12-26,788.771596382626
"395","395",2015-12-27,848.699603804695
"396","396",2015-12-28,851.725998298561
"397","397",2015-12-29,853.770198741643
"398","398",2015-12-30,847.18394919654
"399","399",2015-12-31,851.404571482296
"400","400",2016-01-01,851.404571482296
"401","401",2016-01-02,850.079642786112
"402","402",2016-01-03,843.165482702849
"403","403",2016-01-04,847.845946862761
"404","404",2016-01-05,780.423230561566
"405","405",2016-01-06,781.398706602156
"406","406",2016-01-07,784.665976142148
"407","407",2016-01-08,791.119012116745
"408","408",2016-01-09,793.065202833526
"409","409",2016-01-10,780.671772215925
"410","410",2016-01-11,670.715422255472
"411","411",2016-01-12,643.611982123428
"412","412",2016-01-13,643.892026404772
"413","413",2016-01-14,660.059235196535
"414","414",2016-01-15,624.944794499078
"415","415",2016-01-16,953.531504801947
"416","416",2016-01-17,993.460327007624
"417","417",2016-01-18,988.007315456222
"418","418",2016-01-19,987.523947833441
"419","419",2016-01-20,970.121332434467
"420","420",2016-01-21,1089.00502925491
"421","421",2016-01-22,1095.81255977235
"422","422",2016-01-23,1147.86823225793
"423","423",2016-01-24,1152.39516764414
"424","424",2016-01-25,1167.85782211057
"425","425",2016-01-26,1091.04085961738
"426","426",2016-01-27,1085.26543438273
"427","427",2016-01-28,1084.56373098527
"428","428",2016-01-29,1082.94884859795
"429","429",2016-01-30,1080.94581217161
"430","430",2016-01-31,1076.63263454136
"431","431",2016-02-01,1076.63263454136
"432","432",2016-02-02,1086.33781286771
"433","433",2016-02-03,1085.55370685583
"434","434",2016-02-04,1080.08126946446
"435","435",2016-02-05,1109.26672320259
"436","436",2016-02-06,1106.9380351354
"437","437",2016-02-07,1072.4549093946
"438","438",2016-02-08,1070.94352782812
"439","439",2016-02-09,1078.12890157243
"440","440",2016-02-10,1083.70156310852
"441","441",2016-02-11,1093.93463297614
"442","442",2016-02-12,1095.51716046386
"443","443",2016-02-13,1088.41826537358
"444","444",2016-02-14,1092.61110295303
"445","445",2016-02-15,806.669252387212
"446","446",2016-02-16,783.87619661937
"447","447",2016-02-17,786.848988464627
"448","448",2016-02-18,790.172956617709
"449","449",2016-02-19,783.761640845914
"450","450",2016-02-20,637.54624453342
"451","451",2016-02-21,653.500311177214
"452","452",2016-02-22,526.33942332487
"453","453",2016-02-23,510.814644315323
"454","454",2016-02-24,526.713426047169
"455","455",2016-02-25,509.454198065715
"456","456",2016-02-26,509.002807036814
"457","457",2016-02-27,510.954835598844
"458","458",2016-02-28,486.773968731053
"459","459",2016-02-29,492.506985735894
"460","460",2016-03-01,492.506985735894
"461","461",2016-03-02,459.284435698639
"462","462",2016-03-03,465.670542743315
"463","463",2016-03-04,470.142228546521
"464","464",2016-03-05,482.630959970739
"465","465",2016-03-06,446.243746373738
"466","466",2016-03-07,452.656589119009
"467","467",2016-03-08,432.859984786085
"468","468",2016-03-09,435.436654411028
"469","469",2016-03-10,438.455106583905
"470","470",2016-03-11,444.148842685593
"471","471",2016-03-12,438.097844054006
"472","472",2016-03-13,438.208100457933
"473","473",2016-03-14,440.779077351332
"474","474",2016-03-15,460.944954141029
"475","475",2016-03-16,416.115748090455
"476","476",2016-03-17,411.439359466068
"477","477",2016-03-18,417.125529598866
"478","478",2016-03-19,435.57419672226
"479","479",2016-03-20,430.637546204008
"480","480",2016-03-21,428.407700206793
"481","481",2016-03-22,378.421226865117
"482","482",2016-03-23,376.050067028187
"483","483",2016-03-24,380.193391992613
"484","484",2016-03-25,342.223277771302
"485","485",2016-03-26,335.260598112233
"486","486",2016-03-27,333.077836759321
"487","487",2016-03-28,332.158659661707
"488","488",2016-03-29,325.475433449411
"489","489",2016-03-30,331.689372950388
"490","490",2016-03-31,331.287542770305
"491","491",2016-04-01,331.287542770305
"492","492",2016-04-02,330.678175476281
"493","493",2016-04-03,330.919065313152
"494","494",2016-04-04,320.585078193094
"495","495",2016-04-05,308.382698524831
"496","496",2016-04-06,298.71971389133
"497","497",2016-04-07,297.994155213034
"498","498",2016-04-08,301.369000769946
"499","499",2016-04-09,283.715856817555
"500","500",2016-04-10,283.612001209486
"501","501",2016-04-11,280.505247712283
"502","502",2016-04-12,280.06821528724
"503","503",2016-04-13,271.323849243594
"504","504",2016-04-14,270.40717010849
"505","505",2016-04-15,252.551942117256
"506","506",2016-04-16,252.571280250311
"507","507",2016-04-17,249.309377826129
"508","508",2016-04-18,228.530130163058
"509","509",2016-04-19,230.416958785617
"510","510",2016-04-20,222.497277860335
"511","511",2016-04-21,217.767362786081
"512","512",2016-04-22,212.566261213739
"513","513",2016-04-23,203.739164118668
"514","514",2016-04-24,193.126994570947
"515","515",2016-04-25,195.310866126051
"516","516",2016-04-26,195.055889480541
"517","517",2016-04-27,193.313731127844
"518","518",2016-04-28,278.236326655852
"519","519",2016-04-29,272.008748890981
"520","520",2016-04-30,282.453719963001
"521","521",2016-05-01,282.453719963001
"522","522",2016-05-02,284.051369931098
"523","523",2016-05-03,283.502016753382
"524","524",2016-05-04,283.31192822461
"525","525",2016-05-05,282.878339270698
"526","526",2016-05-06,284.038085161843
"527","527",2016-05-07,295.959104900999
"528","528",2016-05-08,291.124130455907
"529","529",2016-05-09,286.651467338335
"530","530",2016-05-10,284.475699453922
"531","531",2016-05-11,308.708815234127
"532","532",2016-05-12,311.298662504627
"533","533",2016-05-13,310.25023718514
"534","534",2016-05-14,312.733366192811
"535","535",2016-05-15,313.158114245377
"536","536",2016-05-16,312.413305769575
"537","537",2016-05-17,312.510380581148
"538","538",2016-05-18,313.493020759922
"539","539",2016-05-19,317.17865336659
"540","540",2016-05-20,319.004085676387
"541","541",2016-05-21,319.299807422566
"542","542",2016-05-22,313.67094217029
"543","543",2016-05-23,310.018279267638
"544","544",2016-05-24,304.088962544096
"545","545",2016-05-25,299.931449728205
"546","546",2016-05-26,299.645852581737
"547","547",2016-05-27,299.749678767838
"548","548",2016-05-28,244.413926324681
"549","549",2016-05-29,374.481093497877
"550","550",2016-05-30,460.842940865375
"551","551",2016-05-31,482.098344616443
"552","552",2016-06-01,482.098344616443
"553","553",2016-06-02,487.643289391612
"554","554",2016-06-03,495.309337438949
"555","555",2016-06-04,541.114916548017
"556","556",2016-06-05,539.584193664945
"557","557",2016-06-06,535.425349652497
"558","558",2016-06-07,533.050609015809
"559","559",2016-06-08,536.950588306115
"560","560",2016-06-09,535.918855267052
"561","561",2016-06-10,519.113191388921
"562","562",2016-06-11,519.465555144988
